topology_id,W,V,n_edges,shape_hash,density,lambda_2,eigen_ratio,avg_degree,diameter,clustering_coeff,family,win_rate,avg_score,std_score,avg_llm_calls,avg_tokens,avg_latency,robustness_drop
W4_V1_000_27ecd0a598e7,4,1,4,27ecd0a598e7,1.0,1.0,0.16666666666666666,1.6666666666666667,2,0.0,star,0.4771491680543492,14.165813857291447,2.784276247918476,209,46287,0.1647910246568841,0.10383521209501857
W4_V2_001_9d5231433041,4,2,4,9d5231433041,0.5,0.4659298032772682,0.07699570125148728,1.7142857142857142,3,0.0,moderate,0.4385113291722835,13.23693421381097,2.8422330062415746,165,50050,0.18480153487806084,0.20881723620904097
W4_V2_002_25a98d7a1250,4,2,4,25a98d7a1250,0.5,0.29553218574068635,0.05798720050951965,1.7142857142857142,4,0.0,moderate,0.4551232823195928,12.172540693510257,2.817315076520611,180,55143,0.19550370445068738,0.16945412909364216
W4_V2_003_b92d25d0a279,4,2,5,b92d25d0a279,0.625,0.7269271369323336,0.11853417680294033,2.0,3,0.0,moderate,0.44542045835759014,15.178857508302128,2.8318693124636147,191,51462,0.2558154592776674,0.15471332193092233
W4_V2_004_557ab3958ef6,4,2,4,557ab3958ef6,0.5,0.2679491924311226,0.06070145647576514,1.7142857142857142,4,0.0,moderate,0.4524133628248234,14.075191858409706,2.821379955762765,233,61659,0.21561136358760613,0.19347938267726486
W4_V2_005_70b42f480010,4,2,5,70b42f480010,0.625,0.513960597102752,0.09672470546749093,2.0,4,0.0,moderate,0.49015956344390327,13.710993574844528,2.764760654834145,166,49719,0.23636270856017214,0.16004462804915584
W4_V2_006_26f418008ba1,4,2,6,26f418008ba1,0.75,0.8673625064201611,0.1382675644542095,2.2857142857142856,3,0.0,dense,0.4588736622962443,13.854725932155011,2.8116895065556333,226,69188,0.2823797774387341,0.13286740689215684
W4_V2_007_0aac1ab91f48,4,2,6,0aac1ab91f48,0.75,0.6972243622680053,0.12039193710111361,2.2857142857142856,4,0.0,dense,0.47274390376533115,14.106605943218948,2.7908841443520034,226,61112,0.24768136728536022,0.09333366455269974
W4_V2_008_58b152dbcbf8,4,2,7,58b152dbcbf8,0.875,0.948625758268963,0.1451814458229668,2.5714285714285716,3,0.0,dense,0.48088671933635413,16.013052598887842,2.7786699209954686,218,50034,0.24485574850071126,0.08613259195315016
W4_V2_009_04abc8821a06,4,2,8,04abc8821a06,1.0,1.9999999999999991,0.28571428571428564,2.857142857142857,2,0.0,star,0.5725866699407782,17.937879908978623,2.6411199950888324,287,76379,0.3872987940628577,0.044260870253551556
W4_V3_010_fa7f639248af,4,3,4,fa7f639248af,0.3333333333333333,0.37380193147270663,0.060866548326482035,1.75,3,0.0,moderate,0.4275972033981728,11.431235619772853,2.8586041949027408,160,45483,0.21052426770338845,0.18718242060990398
W4_V3_011_272d853a9432,4,3,4,272d853a9432,0.3333333333333333,0.2888014012714064,0.05467747327338636,1.75,4,0.0,moderate,0.46725928958121987,14.545497065925645,2.7991110656281704,176,45785,0.1754473076717464,0.18854786318005015
W4_V3_012_ecb87a3006c8,4,3,5,ecb87a3006c8,0.4166666666666667,0.5448659874787013,0.08749607294872028,2.0,3,0.0,moderate,0.4413346794413714,14.026474874474829,2.837997980837943,186,54762,0.24552655880149718,0.19912821993585023
W4_V3_013_bc3197bf4c60,4,3,5,bc3197bf4c60,0.4166666666666667,0.3186693563950226,0.059861949209180434,2.0,4,0.0,moderate,0.4648822991835194,12.943640122136003,2.802676551224721,180,42585,0.14986501938227986,0.1492492618386222
W4_V3_014_2dc7bbf7984e,4,3,6,2dc7bbf7984e,0.5,0.6277186767309857,0.0985076842792249,2.25,3,0.0,moderate,0.4970375172065757,12.606231623438816,2.7544437241901365,220,59248,0.32287577842335435,0.13032480293303703
W4_V3_015_6845ba051b47,4,3,4,6845ba051b47,0.3333333333333333,0.267949192431123,0.05566495563850179,1.75,4,0.0,moderate,0.45553492440758153,12.041386010525107,2.816697613388628,179,40844,0.21862118217729287,0.20713206806996834
W4_V3_016_4325f29d6d39,4,3,5,4325f29d6d39,0.4166666666666667,0.5065637498004957,0.09203859931381941,2.0,4,0.0,moderate,0.457732031769698,11.323697599653695,2.813401952345453,196,56248,0.23629260727617213,0.2272200334062941
W4_V3_017_7012eaa8e549,4,3,4,7012eaa8e549,0.3333333333333333,0.3064747977721272,0.06529735850286965,1.75,4,0.0,moderate,0.45601103329886167,11.936886160653541,2.8159834500517076,187,59985,0.24745556229572896,0.2107061317744853
W4_V3_018_29847ea9099d,4,3,5,29847ea9099d,0.4166666666666667,0.34788006758242485,0.06403956554921217,2.0,4,0.0,moderate,0.5128933012653782,12.371575033700264,2.7306600481019325,171,45880,0.13636569262218456,0.19822119507109875
W4_V3_019_3153c6f688a3,4,3,5,3153c6f688a3,0.4166666666666667,0.30737287663628327,0.061651030648626266,2.0,4,0.0,moderate,0.46072683338966114,11.322512558921947,2.8089097499155082,172,52484,0.3062365445845893,0.2665825406468865
W4_V3_020_6835b858868e,4,3,6,6835b858868e,0.5,0.5107114281899213,0.08838197078182149,2.25,4,0.0,moderate,0.4923332207182278,12.423691468570937,2.7615001689226584,152,38852,0.17683213699101574,0.13997042936153908
W4_V3_021_799d1d75ffcd,4,3,6,799d1d75ffcd,0.5,0.6277186767309859,0.09850768427922497,2.25,3,0.0,moderate,0.48082056381238103,15.368817111930037,2.7787691542814286,223,55511,0.18386585276478215,0.1437440960611334
W4_V3_022_f0e452e9a1b8,4,3,6,f0e452e9a1b8,0.5,0.7715327560250661,0.12231163640451481,2.25,3,0.0,moderate,0.4900890481494492,16.532963448163216,2.764866427775826,234,62014,0.22155281167914875,0.12937983046636217
