n_agents,topology_family,subtask,accuracy,human_accuracy,single_mllm_accuracy,consistency,flip_rate,total_tokens,total_cost
1,single,fine_grained_discrimination,0.4551,0.92,0.42,0.6421,0.2446,1500,0.0045
1,single,visual_tracking,0.4651,0.88,0.48,0.6386,0.2474,1500,0.0045
1,single,spatial_perception,0.539,0.95,0.55,0.6546,0.2407,1500,0.0045
1,single,pattern_recognition,0.5797,0.9,0.58,0.6434,0.2551,1500,0.0045
2,star,fine_grained_discrimination,0.5628,0.92,0.42,0.4201,0.1922,3300,0.0099
2,chain,fine_grained_discrimination,0.5173,0.92,0.42,0.3859,0.1936,3300,0.0099
2,ring,fine_grained_discrimination,0.5247,0.92,0.42,0.3961,0.1883,3300,0.0099
2,sparse,fine_grained_discrimination,0.4827,0.92,0.42,0.3594,0.1954,3300,0.0099
2,dense,fine_grained_discrimination,0.5456,0.92,0.42,0.4144,0.1978,3300,0.0099
2,star,visual_tracking,0.6562,0.88,0.48,0.4034,0.1915,3300,0.0099
2,chain,visual_tracking,0.599,0.88,0.48,0.3881,0.1916,3300,0.0099
2,ring,visual_tracking,0.5974,0.88,0.48,0.4016,0.1999,3300,0.0099
2,sparse,visual_tracking,0.5497,0.88,0.48,0.342,0.1927,3300,0.0099
2,dense,visual_tracking,0.6288,0.88,0.48,0.4161,0.203,3300,0.0099
2,star,spatial_perception,0.7467,0.95,0.55,0.4136,0.1911,3300,0.0099
2,chain,spatial_perception,0.681,0.95,0.55,0.3922,0.1868,3300,0.0099
2,ring,spatial_perception,0.6951,0.95,0.55,0.3938,0.1952,3300,0.0099
2,sparse,spatial_perception,0.6222,0.95,0.55,0.3418,0.1915,3300,0.0099
2,dense,spatial_perception,0.7408,0.95,0.55,0.4083,0.2006,3300,0.0099
2,star,pattern_recognition,0.7136,0.9,0.58,0.4065,0.1977,3300,0.0099
2,chain,pattern_recognition,0.6715,0.9,0.58,0.3884,0.1995,3300,0.0099
2,ring,pattern_recognition,0.681,0.9,0.58,0.3976,0.1992,3300,0.0099
2,sparse,pattern_recognition,0.6269,0.9,0.58,0.3456,0.1932,3300,0.0099
2,dense,pattern_recognition,0.7136,0.9,0.58,0.4158,0.1894,3300,0.0099
4,star,fine_grained_discrimination,0.6913,0.92,0.42,0.5531,0.1534,7200,0.0216
4,chain,fine_grained_discrimination,0.5943,0.92,0.42,0.5181,0.149,7200,0.0216
4,ring,fine_grained_discrimination,0.6124,0.92,0.42,0.5363,0.1472,7200,0.0216
4,sparse,fine_grained_discrimination,0.5433,0.92,0.42,0.4634,0.1549,7200,0.0216
4,dense,fine_grained_discrimination,0.6652,0.92,0.42,0.5652,0.1527,7200,0.0216
4,star,visual_tracking,0.7237,0.88,0.48,0.546,0.1486,7200,0.0216
4,chain,visual_tracking,0.6393,0.88,0.48,0.5231,0.1478,7200,0.0216
4,ring,visual_tracking,0.6656,0.88,0.48,0.536,0.155,7200,0.0216
4,sparse,visual_tracking,0.6037,0.88,0.48,0.4593,0.1527,7200,0.0216
4,dense,visual_tracking,0.7215,0.88,0.48,0.5515,0.1506,7200,0.0216
4,star,spatial_perception,0.8394,0.95,0.55,0.5413,0.1512,7200,0.0216
4,chain,spatial_perception,0.7245,0.95,0.55,0.5169,0.1484,7200,0.0216
4,ring,spatial_perception,0.7819,0.95,0.55,0.5264,0.1511,7200,0.0216
4,sparse,spatial_perception,0.7024,0.95,0.55,0.462,0.1473,7200,0.0216
4,dense,spatial_perception,0.8284,0.95,0.55,0.5718,0.1464,7200,0.0216
4,star,pattern_recognition,0.8056,0.9,0.58,0.5431,0.1503,7200,0.0216
4,chain,pattern_recognition,0.7325,0.9,0.58,0.5156,0.1548,7200,0.0216
4,ring,pattern_recognition,0.7526,0.9,0.58,0.5369,0.1524,7200,0.0216
4,sparse,pattern_recognition,0.6699,0.9,0.58,0.4642,0.1487,7200,0.0216
4,dense,pattern_recognition,0.7996,0.9,0.58,0.556,0.1514,7200,0.0216
8,star,fine_grained_discrimination,0.7561,0.92,0.42,0.6166,0.0911,15600,0.0468
8,chain,fine_grained_discrimination,0.6377,0.92,0.42,0.5865,0.099,15600,0.0468
8,ring,fine_grained_discrimination,0.6736,0.92,0.42,0.598,0.0954,15600,0.0468
8,sparse,fine_grained_discrimination,0.5861,0.92,0.42,0.5259,0.0983,15600,0.0468
8,dense,fine_grained_discrimination,0.7387,0.92,0.42,0.6262,0.0945,15600,0.0468
8,star,visual_tracking,0.8004,0.88,0.48,0.614,0.0945,15600,0.0468
8,chain,visual_tracking,0.7081,0.88,0.48,0.5811,0.098,15600,0.0468
8,ring,visual_tracking,0.7214,0.88,0.48,0.6011,0.0991,15600,0.0468
8,sparse,visual_tracking,0.6457,0.88,0.48,0.5234,0.0967,15600,0.0468
8,dense,visual_tracking,0.779,0.88,0.48,0.6315,0.0967,15600,0.0468
8,star,spatial_perception,0.9023,0.95,0.55,0.6159,0.0971,15600,0.0468
8,chain,spatial_perception,0.7907,0.95,0.55,0.5871,0.0952,15600,0.0468
8,ring,spatial_perception,0.8213,0.95,0.55,0.6055,0.0959,15600,0.0468
8,sparse,spatial_perception,0.7305,0.95,0.55,0.5273,0.1003,15600,0.0468
8,dense,spatial_perception,0.8723,0.95,0.55,0.6342,0.0967,15600,0.0468
8,star,pattern_recognition,0.8617,0.9,0.58,0.6215,0.0968,15600,0.0468
8,chain,pattern_recognition,0.7686,0.9,0.58,0.5876,0.097,15600,0.0468
8,ring,pattern_recognition,0.7879,0.9,0.58,0.6014,0.0962,15600,0.0468
8,sparse,pattern_recognition,0.7049,0.9,0.58,0.5273,0.0971,15600,0.0468
8,dense,pattern_recognition,0.8316,0.9,0.58,0.6288,0.0974,15600,0.0468
16,star,fine_grained_discrimination,0.8088,0.92,0.42,0.6585,0.0502,33600,0.1008
16,chain,fine_grained_discrimination,0.6871,0.92,0.42,0.622,0.0499,33600,0.1008
16,ring,fine_grained_discrimination,0.7277,0.92,0.42,0.6383,0.0503,33600,0.1008
16,sparse,fine_grained_discrimination,0.6358,0.92,0.42,0.5623,0.0506,33600,0.1008
16,dense,fine_grained_discrimination,0.7917,0.92,0.42,0.6737,0.0493,33600,0.1008
16,star,visual_tracking,0.8338,0.88,0.48,0.6593,0.0513,33600,0.1008
16,chain,visual_tracking,0.7358,0.88,0.48,0.6241,0.0483,33600,0.1008
16,ring,visual_tracking,0.7639,0.88,0.48,0.6401,0.0494,33600,0.1008
16,sparse,visual_tracking,0.6856,0.88,0.48,0.5603,0.0503,33600,0.1008
16,dense,visual_tracking,0.813,0.88,0.48,0.6728,0.0508,33600,0.1008
16,star,spatial_perception,0.9283,0.95,0.55,0.6563,0.0525,33600,0.1008
16,chain,spatial_perception,0.8237,0.95,0.55,0.6278,0.0511,33600,0.1008
16,ring,spatial_perception,0.8522,0.95,0.55,0.6374,0.0505,33600,0.1008
16,sparse,spatial_perception,0.7842,0.95,0.55,0.5606,0.0502,33600,0.1008
16,dense,spatial_perception,0.9014,0.95,0.55,0.67,0.0495,33600,0.1008
16,star,pattern_recognition,0.8735,0.9,0.58,0.6541,0.0509,33600,0.1008
16,chain,pattern_recognition,0.792,0.9,0.58,0.6226,0.0486,33600,0.1008
16,ring,pattern_recognition,0.8177,0.9,0.58,0.6429,0.051,33600,0.1008
16,sparse,pattern_recognition,0.7511,0.9,0.58,0.5559,0.0507,33600,0.1008
16,dense,pattern_recognition,0.863,0.9,0.58,0.6666,0.0509,33600,0.1008
32,star,fine_grained_discrimination,0.843,0.92,0.42,0.6834,0.0319,72000,0.216
32,chain,fine_grained_discrimination,0.7281,0.92,0.42,0.6502,0.0307,72000,0.216
32,ring,fine_grained_discrimination,0.7651,0.92,0.42,0.6673,0.0325,72000,0.216
32,sparse,fine_grained_discrimination,0.6644,0.92,0.42,0.5833,0.0315,72000,0.216
32,dense,fine_grained_discrimination,0.8234,0.92,0.42,0.7025,0.031,72000,0.216
32,star,visual_tracking,0.8581,0.88,0.48,0.6813,0.0311,72000,0.216
32,chain,visual_tracking,0.7619,0.88,0.48,0.6479,0.0311,72000,0.216
32,ring,visual_tracking,0.7979,0.88,0.48,0.6645,0.0311,72000,0.216
32,sparse,visual_tracking,0.7098,0.88,0.48,0.585,0.0324,72000,0.216
32,dense,visual_tracking,0.8466,0.88,0.48,0.6987,0.0305,72000,0.216
