domain,n_agents,topology_family,condition,prompt_id,variation_type,answer_entropy,flip_rate,self_consistency,total_tokens,total_cost
games,1,none,single_llm,1,seed,0.951,0.4138,0.6667,23358,0.070074
games,4,none,ensemble,1,seed,1.1072,0.6207,0.5333,96922,0.290766
games,4,chain,team,1,seed,0.9899,0.6897,0.6333,95373,0.286119
games,4,star,team,1,seed,0.9899,0.6897,0.6333,95373,0.286119
games,4,full,team,1,seed,0.9899,0.6897,0.6333,95373,0.286119
games,4,hierarchy,team,1,seed,0.9899,0.6897,0.6333,95373,0.286119
games,6,none,ensemble,1,seed,1.0564,0.6207,0.5667,144517,0.433551
games,6,chain,team,1,seed,0.82,0.5172,0.7333,142784,0.428352
games,6,star,team,1,seed,0.82,0.5172,0.7333,142784,0.428352
games,6,full,team,1,seed,0.82,0.5172,0.7333,142784,0.428352
games,6,hierarchy,team,1,seed,0.82,0.5172,0.7333,142784,0.428352
games,8,none,ensemble,1,seed,0.8919,0.5172,0.7,193084,0.579252
games,8,chain,team,1,seed,0.82,0.4483,0.7333,191266,0.573798
games,8,star,team,1,seed,0.82,0.4483,0.7333,191266,0.573798
games,8,full,team,1,seed,0.82,0.4483,0.7333,191266,0.573798
games,8,hierarchy,team,1,seed,0.82,0.4483,0.7333,191266,0.573798
games,1,none,single_llm,1,paraphrase,0.951,0.4138,0.6667,23358,0.070074
games,4,none,ensemble,1,paraphrase,1.1072,0.6207,0.5333,96922,0.290766
games,4,chain,team,1,paraphrase,0.9899,0.6897,0.6333,95373,0.286119
games,4,star,team,1,paraphrase,0.9899,0.6897,0.6333,95373,0.286119
games,4,full,team,1,paraphrase,0.9899,0.6897,0.6333,95373,0.286119
games,4,hierarchy,team,1,paraphrase,0.9899,0.6897,0.6333,95373,0.286119
games,6,none,ensemble,1,paraphrase,1.0564,0.6207,0.5667,144517,0.433551
games,6,chain,team,1,paraphrase,0.82,0.5172,0.7333,142784,0.428352
games,6,star,team,1,paraphrase,0.82,0.5172,0.7333,142784,0.428352
games,6,full,team,1,paraphrase,0.82,0.5172,0.7333,142784,0.428352
games,6,hierarchy,team,1,paraphrase,0.82,0.5172,0.7333,142784,0.428352
games,8,none,ensemble,1,paraphrase,0.8919,0.5172,0.7,193084,0.579252
games,8,chain,team,1,paraphrase,0.82,0.4483,0.7333,191266,0.573798
games,8,star,team,1,paraphrase,0.82,0.4483,0.7333,191266,0.573798
games,8,full,team,1,paraphrase,0.82,0.4483,0.7333,191266,0.573798
games,8,hierarchy,team,1,paraphrase,0.82,0.4483,0.7333,191266,0.573798
games,1,none,single_llm,2,seed,1.3512,0.7586,0.3667,24302,0.072906
games,4,none,ensemble,2,seed,1.2799,0.6897,0.4,96448,0.289344
games,4,chain,team,2,seed,0.3887,0.1724,0.9,97312,0.291936
games,4,star,team,2,seed,0.3887,0.1724,0.9,97312,0.291936
games,4,full,team,2,seed,0.3887,0.1724,0.9,97312,0.291936
games,4,hierarchy,team,2,seed,0.3887,0.1724,0.9,97312,0.291936
games,6,none,ensemble,2,seed,1.2862,0.7586,0.3667,145200,0.4356
games,6,chain,team,2,seed,0.4677,0.2414,0.8667,145116,0.435348
games,6,star,team,2,seed,0.4677,0.2414,0.8667,145116,0.435348
games,6,full,team,2,seed,0.4677,0.2414,0.8667,145116,0.435348
games,6,hierarchy,team,2,seed,0.4677,0.2414,0.8667,145116,0.435348
games,8,none,ensemble,2,seed,1.0948,0.6207,0.5,193271,0.579813
games,8,chain,team,2,seed,0.3887,0.2069,0.9,193363,0.580089
games,8,star,team,2,seed,0.3887,0.2069,0.9,193363,0.580089
games,8,full,team,2,seed,0.3887,0.2069,0.9,193363,0.580089
games,8,hierarchy,team,2,seed,0.3887,0.2069,0.9,193363,0.580089
games,1,none,single_llm,2,paraphrase,1.3512,0.7586,0.3667,24302,0.072906
games,4,none,ensemble,2,paraphrase,1.2799,0.6897,0.4,96448,0.289344
games,4,chain,team,2,paraphrase,0.3887,0.1724,0.9,97312,0.291936
games,4,star,team,2,paraphrase,0.3887,0.1724,0.9,97312,0.291936
games,4,full,team,2,paraphrase,0.3887,0.1724,0.9,97312,0.291936
games,4,hierarchy,team,2,paraphrase,0.3887,0.1724,0.9,97312,0.291936
games,6,none,ensemble,2,paraphrase,1.2862,0.7586,0.3667,145200,0.4356
games,6,chain,team,2,paraphrase,0.4677,0.2414,0.8667,145116,0.435348
games,6,star,team,2,paraphrase,0.4677,0.2414,0.8667,145116,0.435348
games,6,full,team,2,paraphrase,0.4677,0.2414,0.8667,145116,0.435348
games,6,hierarchy,team,2,paraphrase,0.4677,0.2414,0.8667,145116,0.435348
games,8,none,ensemble,2,paraphrase,1.0948,0.6207,0.5,193271,0.579813
games,8,chain,team,2,paraphrase,0.3887,0.2069,0.9,193363,0.580089
games,8,star,team,2,paraphrase,0.3887,0.2069,0.9,193363,0.580089
games,8,full,team,2,paraphrase,0.3887,0.2069,0.9,193363,0.580089
games,8,hierarchy,team,2,paraphrase,0.3887,0.2069,0.9,193363,0.580089
games,1,none,single_llm,3,seed,1.2106,0.6897,0.4667,24159,0.072477
games,4,none,ensemble,3,seed,1.1494,0.7586,0.5667,95421,0.286263
games,4,chain,team,3,seed,0.6089,0.3103,0.8333,95197,0.285591
games,4,star,team,3,seed,0.6089,0.3103,0.8333,95197,0.285591
games,4,full,team,3,seed,0.6089,0.3103,0.8333,95197,0.285591
games,4,hierarchy,team,3,seed,0.6089,0.3103,0.8333,95197,0.285591
games,6,none,ensemble,3,seed,1.2748,0.7931,0.4667,144033,0.432099
games,6,chain,team,3,seed,0.7027,0.3448,0.8,143319,0.429957
games,6,star,team,3,seed,0.7027,0.3448,0.8,143319,0.429957
games,6,full,team,3,seed,0.7027,0.3448,0.8,143319,0.429957
games,6,hierarchy,team,3,seed,0.7027,0.3448,0.8,143319,0.429957
games,8,none,ensemble,3,seed,1.1427,0.7586,0.5667,191786,0.575358
games,8,chain,team,3,seed,0.4677,0.2069,0.8667,191328,0.573984
games,8,star,team,3,seed,0.4677,0.2069,0.8667,191328,0.573984
games,8,full,team,3,seed,0.4677,0.2069,0.8667,191328,0.573984
games,8,hierarchy,team,3,seed,0.4677,0.2069,0.8667,191328,0.573984
games,1,none,single_llm,3,paraphrase,1.2106,0.6897,0.4667,24159,0.072477
games,4,none,ensemble,3,paraphrase,1.1494,0.7586,0.5667,95421,0.286263
games,4,chain,team,3,paraphrase,0.6089,0.3103,0.8333,95197,0.285591
games,4,star,team,3,paraphrase,0.6089,0.3103,0.8333,95197,0.285591
games,4,full,team,3,paraphrase,0.6089,0.3103,0.8333,95197,0.285591
games,4,hierarchy,team,3,paraphrase,0.6089,0.3103,0.8333,95197,0.285591
games,6,none,ensemble,3,paraphrase,1.2748,0.7931,0.4667,144033,0.432099
games,6,chain,team,3,paraphrase,0.7027,0.3448,0.8,143319,0.429957
games,6,star,team,3,paraphrase,0.7027,0.3448,0.8,143319,0.429957
games,6,full,team,3,paraphrase,0.7027,0.3448,0.8,143319,0.429957
games,6,hierarchy,team,3,paraphrase,0.7027,0.3448,0.8,143319,0.429957
games,8,none,ensemble,3,paraphrase,1.1427,0.7586,0.5667,191786,0.575358
games,8,chain,team,3,paraphrase,0.4677,0.2069,0.8667,191328,0.573984
games,8,star,team,3,paraphrase,0.4677,0.2069,0.8667,191328,0.573984
games,8,full,team,3,paraphrase,0.4677,0.2069,0.8667,191328,0.573984
games,8,hierarchy,team,3,paraphrase,0.4677,0.2069,0.8667,191328,0.573984
games,1,none,single_llm,4,seed,1.27,0.7931,0.4,23791,0.071373
games,4,none,ensemble,4,seed,1.1391,0.5862,0.5,96831,0.290493
games,4,chain,team,4,seed,0.7698,0.5172,0.7,94767,0.284301
games,4,star,team,4,seed,0.7698,0.5172,0.7,94767,0.284301
games,4,full,team,4,seed,0.7698,0.5172,0.7,94767,0.284301
games,4,hierarchy,team,4,seed,0.7698,0.5172,0.7,94767,0.284301
games,6,none,ensemble,4,seed,1.0281,0.5862,0.6,144659,0.433977
games,6,chain,team,4,seed,0.6829,0.3793,0.7667,142430,0.42729
games,6,star,team,4,seed,0.6829,0.3793,0.7667,142430,0.42729
