domain,n_agents,topology_family,condition,prompt_id,variation_type,answer_entropy,flip_rate,self_consistency,total_tokens,total_cost
games,1,none,single_llm,1,seed,1.2457,0.2876,0.6025,875,0.002625
games,4,none,ensemble,1,seed,0.6659,0.1849,0.6577,3098,0.009294
games,6,none,ensemble,1,seed,0.8162,0.1846,0.7428,5173,0.015519
games,8,none,ensemble,1,seed,0.7579,0.2647,0.7581,5850,0.01755
games,4,chain,team,1,seed,0.7669,0.1816,0.7839,3184,0.009552
games,4,star,team,1,seed,0.6615,0.1628,0.8311,3150,0.00945
games,4,full,team,1,seed,0.6072,0.1559,0.8066,3316,0.009948
games,4,hierarchy,team,1,seed,0.7413,0.2172,0.8671,3069,0.009207
games,6,chain,team,1,seed,0.5204,0.1422,0.7854,5341,0.016023
games,6,star,team,1,seed,0.5102,0.1111,0.7434,5112,0.015336
games,6,full,team,1,seed,0.5659,0.1465,0.7613,4911,0.014733
games,6,hierarchy,team,1,seed,0.5533,0.1635,0.8182,4907,0.014721
games,8,chain,team,1,seed,0.5646,0.156,0.7795,6804,0.020412
games,8,star,team,1,seed,0.301,0.1105,0.7715,5991,0.017973
games,8,full,team,1,seed,0.3892,0.1631,0.7617,7019,0.021057
games,8,hierarchy,team,1,seed,0.2984,0.1199,0.7931,6775,0.020325
games,1,none,single_llm,1,paraphrase,1.3867,0.4576,0.4856,763,0.002289
games,4,none,ensemble,1,paraphrase,1.083,0.3004,0.5335,2837,0.008511
games,6,none,ensemble,1,paraphrase,0.7878,0.3121,0.6585,5131,0.015393
games,8,none,ensemble,1,paraphrase,0.7787,0.2763,0.7275,6202,0.018606
games,4,chain,team,1,paraphrase,0.8557,0.2535,0.6818,3077,0.009231
games,4,star,team,1,paraphrase,0.6404,0.2695,0.7065,3203,0.009609
games,4,full,team,1,paraphrase,0.7781,0.2479,0.7733,3168,0.009504
games,4,hierarchy,team,1,paraphrase,0.7377,0.2568,0.6356,2736,0.008208
games,6,chain,team,1,paraphrase,0.5193,0.1949,0.7346,4365,0.013095
games,6,star,team,1,paraphrase,0.5638,0.2567,0.7268,5154,0.015462
games,6,full,team,1,paraphrase,0.4782,0.1765,0.7071,4637,0.013911
games,6,hierarchy,team,1,paraphrase,0.7056,0.1456,0.7563,4914,0.014742
games,8,chain,team,1,paraphrase,0.5173,0.1555,0.7286,6061,0.018183
games,8,star,team,1,paraphrase,0.5499,0.1842,0.8351,6246,0.018738
games,8,full,team,1,paraphrase,0.3943,0.1705,0.776,7269,0.021807
games,8,hierarchy,team,1,paraphrase,0.6302,0.2076,0.8182,5639,0.016917
games,1,none,single_llm,2,seed,1.104,0.2944,0.5227,689,0.002067
games,4,none,ensemble,2,seed,0.9762,0.2389,0.5618,2875,0.008625
games,6,none,ensemble,2,seed,0.8558,0.2692,0.8098,6198,0.018594
games,8,none,ensemble,2,seed,0.7997,0.1589,0.6021,6571,0.019713
games,4,chain,team,2,seed,0.6487,0.2034,0.7094,3154,0.009462
games,4,star,team,2,seed,0.7866,0.1963,0.7621,2868,0.008604
games,4,full,team,2,seed,0.4825,0.1505,0.7773,3765,0.011295
games,4,hierarchy,team,2,seed,0.713,0.2393,0.735,2820,0.00846
games,6,chain,team,2,seed,0.4751,0.1457,0.861,4405,0.013215
games,6,star,team,2,seed,0.6054,0.1086,0.8312,4984,0.014952
games,6,full,team,2,seed,0.4759,0.1231,0.7619,5014,0.015042
games,6,hierarchy,team,2,seed,0.4961,0.1057,0.7107,4882,0.014646
games,8,chain,team,2,seed,0.6546,0.1597,0.7591,6582,0.019746
games,8,star,team,2,seed,0.5773,0.1321,0.7745,7108,0.021324
games,8,full,team,2,seed,0.4595,0.1648,0.8142,5616,0.016848
games,8,hierarchy,team,2,seed,0.3299,0.1994,0.8712,6285,0.018855
games,1,none,single_llm,2,paraphrase,1.2225,0.4977,0.4325,728,0.002184
games,4,none,ensemble,2,paraphrase,1.0572,0.2903,0.6097,3147,0.009441
games,6,none,ensemble,2,paraphrase,0.9387,0.3576,0.6554,5109,0.015327
games,8,none,ensemble,2,paraphrase,0.584,0.2659,0.6394,5619,0.016857
games,4,chain,team,2,paraphrase,0.7222,0.2666,0.7458,2775,0.008325
games,4,star,team,2,paraphrase,0.7631,0.2306,0.7136,3520,0.01056
games,4,full,team,2,paraphrase,0.7838,0.2835,0.7323,2977,0.008931
games,4,hierarchy,team,2,paraphrase,0.7576,0.2697,0.7288,2852,0.008556
games,6,chain,team,2,paraphrase,0.6606,0.2439,0.8405,5700,0.0171
games,6,star,team,2,paraphrase,0.5163,0.1932,0.6715,4516,0.013548
games,6,full,team,2,paraphrase,0.6032,0.233,0.7182,4486,0.013458
games,6,hierarchy,team,2,paraphrase,0.4069,0.2082,0.6815,4545,0.013635
games,8,chain,team,2,paraphrase,0.489,0.2096,0.6371,5461,0.016383
games,8,star,team,2,paraphrase,0.7396,0.1318,0.7002,7575,0.022725
games,8,full,team,2,paraphrase,0.7872,0.1165,0.7466,6618,0.019854
games,8,hierarchy,team,2,paraphrase,0.7195,0.1539,0.7327,6897,0.020691
games,1,none,single_llm,3,seed,1.2652,0.3274,0.5406,690,0.00207
games,4,none,ensemble,3,seed,0.8714,0.2367,0.6639,3022,0.009066
games,6,none,ensemble,3,seed,0.8748,0.2779,0.6993,4968,0.014904
games,8,none,ensemble,3,seed,0.7564,0.2083,0.6867,6602,0.019806
games,4,chain,team,3,seed,0.7203,0.3037,0.8187,3323,0.009969
